Country,ISO Code,Region,Position 2022,Position 2021,Global Score,Politic Score,Economic Score,Legislative Score,Social Score,Security Score,Journalist Killed,Media Workers Killed,Journalist Imprisoned,Media Workers Imprisoned,Situation,Change in position,GNI per capita,% of children out of school,Life Expectancy at Birth
Ivory Coast,CIV,Africa,37,66,74.46,74.89,58.45,75.94,81.43,81.6,0,0,0,0,Satisfactory,29,,,
Jamaica,JAM,South America,12,7,83.35,74.85,71.94,82.46,95.0,92.52,0,0,0,0,Satisfactory,-5,8940.0,,74.586
Japan,JPN,Asia Pacific,71,67,64.37,54.66,53.7,66.23,67.06,80.19,0,0,0,0,Problematic,-4,43630.0,,84.6156097560976
Jordan,JOR,Middle  East,120,129,48.66,40.0,32.65,41.23,66.0,63.4,0,0,0,0,Difficult,9,10320.0,20.0847301483154,74.655
Kazakhstan,KAZ,Asia Pacific,122,155,48.28,43.52,29.8,51.93,52.3,63.85,0,1,3,0,Difficult,33,24410.0,9.61295986175537,71.37
Kenya,KEN,Africa,69,102,64.59,62.42,46.33,72.28,78.0,63.92,0,0,0,0,Problematic,33,4510.0,,66.991
Kosovo,XKX,Europe,61,78,67.0,64.34,45.24,80.85,74.33,70.26,0,0,0,0,Problematic,17,11570.0,,71.0878048780488
Kuwait,KWT,Middle  East,158,105,37.87,32.73,19.39,36.84,27.0,73.41,0,0,0,0,Very Serious,-53,,,75.586
Kyrgyzstan,KGZ,Asia Pacific,72,79,64.25,59.9,48.64,68.86,69.0,74.83,0,0,0,1,Problematic,7,,,
Laos,LAO,Asia Pacific,161,172,36.64,36.06,20.92,31.58,44.0,50.64,0,0,0,0,Very Serious,11,,,
Latvia,LVA,Europe,22,22,79.17,78.96,64.58,80.89,87.36,84.06,0,0,0,0,Satisfactory,0,31470.0,,75.3878048780488
Lebanon,LBN,Middle  East,130,107,46.58,50.91,38.27,50.22,60.5,33.02,0,0,1,0,Difficult,-23,10860.0,,79.004
Lesotho,LSO,Africa,88,88,59.39,57.37,40.14,57.31,74.0,68.11,0,0,0,0,Problematic,0,2870.0,,54.836
Liberia,LBR,Africa,75,98,62.77,55.5,32.8,74.69,82.57,68.3,0,0,0,0,Problematic,23,1390.0,,64.423
Libya,LBY,Middle  East,143,165,43.16,54.42,34.9,44.91,45.0,36.58,0,0,0,0,Difficult,22,17370.0,,73.082
Liechtenstein,LIE,Europe,10,23,84.03,80.36,68.78,84.74,89.8,96.46,0,0,0,0,Satisfactory,13,,,81.8073170731707
Lithuania,LTU,Europe,9,28,84.14,87.01,72.16,84.46,89.71,87.37,0,0,0,0,Satisfactory,19,37760.0,,74.9292682926829
Luxembourg,LUX,Europe,21,20,79.81,82.94,66.33,72.93,88.71,88.14,0,0,0,0,Satisfactory,-1,83230.0,,81.7414634146342
Madagascar,MDG,Africa,98,57,58.02,52.58,35.08,64.47,64.5,73.47,0,0,0,0,Problematic,-41,1500.0,,67.39
Malawi,MWI,Africa,80,62,61.4,55.76,38.44,78.07,67.67,67.08,0,0,0,0,Problematic,-18,1570.0,,64.694
Malaysia,MYS,Asia Pacific,113,119,51.55,46.52,42.6,40.13,56.0,72.48,0,0,0,0,Difficult,6,27360.0,1.60433995723724,76.306
Maldives,MDV,Asia Pacific,87,72,59.55,62.27,38.27,67.11,55.0,75.12,0,0,0,0,Problematic,-15,12340.0,,79.208
Mali,MLI,Africa,111,99,54.48,35.15,42.6,74.34,78.5,41.81,0,0,0,0,Difficult,-12,2250.0,,59.692
Malta,MLT,Europe,78,81,61.55,46.82,41.33,67.98,74.75,76.87,0,0,0,0,Problematic,3,39480.0,,82.6536585365854
Mauritania,MRT,Arab States,97,94,58.1,55.15,35.13,64.29,64.29,71.67,0,0,0,0,Problematic,-3,5320.0,,65.129
Mauritius,MUS,Africa,64,61,66.07,55.58,47.81,64.16,80.29,82.5,0,0,0,0,Problematic,-3,22370.0,0.332439988851547,74.1770731707317
Mexico,MEX,North America,127,143,47.57,58.18,43.37,65.79,59.5,11.02,9,0,0,0,Difficult,16,18050.0,,75.131
Moldova,MDA,Europe,40,89,73.47,70.15,47.83,83.0,85.88,80.48,0,0,0,0,Satisfactory,49,13370.0,0.790929973125458,72.006
Mongolia,MNG,Asia Pacific,90,68,59.17,55.48,36.18,60.37,69.55,74.27,0,0,0,0,Problematic,-22,11200.0,,70.056
Montenegro,MNE,Europe,63,104,66.54,62.51,47.67,77.19,71.0,74.33,0,0,0,0,Problematic,41,20310.0,0.0679399967193604,75.9317073170732
Morocco,MAR,Arab States,135,136,45.42,51.67,28.83,55.81,56.0,34.82,0,0,0,0,Difficult,1,7260.0,0.447120010852814,76.901
Mozambique,MOZ,Africa,116,108,49.89,46.06,40.31,61.62,47.25,54.21,0,0,0,0,Difficult,-8,1270.0,0.867150008678436,61.387
Myanmar,MMR,Asia Pacific,176,140,25.03,40.4,29.25,20.18,30.67,4.63,1,0,22,1,Very Serious,-36,4960.0,,67.363
Namibia,NAM,Africa,18,24,81.84,72.97,69.8,82.98,91.6,91.84,0,0,2,0,Satisfactory,6,9320.0,,64.045
Nepal,NPL,Asia Pacific,76,106,62.67,59.8,40.14,66.08,77.33,69.99,0,0,0,0,Problematic,30,4040.0,,71.067
Netherlands,NLD,Europe,28,6,77.93,86.3,82.86,87.28,86.1,47.09,0,0,0,0,Satisfactory,-22,58240.0,,81.409756097561
New Zealand,NZL,Asia Pacific,11,8,83.54,90.15,75.26,74.78,89.75,87.76,0,0,0,0,Satisfactory,-3,43890.0,,82.0560975609756
Nicaragua,NIC,South America,160,121,37.09,37.45,38.78,31.75,49.8,27.68,0,0,0,0,Very Serious,-39,5210.0,,74.697
Niger,NER,Africa,59,59,67.8,62.3,46.73,71.75,76.5,81.69,0,0,2,0,Problematic,0,1230.0,,62.792
Nigeria,NGA,Africa,129,120,46.79,45.15,36.39,53.8,69.83,28.75,0,0,1,0,Difficult,-9,5000.0,,55.018
North Korea,PRK,Asia Pacific,180,179,13.92,22.42,0.0,22.81,12.0,12.38,0,0,0,0,Very Serious,-1,,,
North Macedonia,MKD,Europe,57,90,68.44,66.16,43.71,81.29,73.17,77.85,0,0,0,0,Problematic,33,16070.0,,75.6931707317073
Northern Cyprus,CYP,Europe,81,76,61.08,56.48,38.78,69.82,60.2,80.14,0,0,0,0,Problematic,-5,,,
Norway,NOR,Europe,1,1,92.65,94.89,90.38,92.23,93.71,92.03,0,0,0,0,Good,0,65150.0,,83.209756097561
OECS,,,55,45,68.49,62.91,48.37,68.25,79.8,83.13,0,0,0,0,Problematic,-10,,,
Oman,OMN,Middle  East,163,133,35.99,32.73,23.98,18.42,45.0,59.82,0,0,0,0,Very Serious,-30,28850.0,1.62876999378204,78.078
Pakistan,PAK,Asia Pacific,157,145,37.99,39.57,31.92,53.26,47.43,17.75,1,0,0,0,Very Serious,-12,5330.0,,67.428
Palestine,PSE,Middle  East,170,132,28.98,35.45,15.82,36.4,36.5,20.74,2,0,0,0,Very Serious,-38,,,
Panama,PAN,South America,74,77,62.78,54.24,47.45,64.04,74.0,74.15,0,0,0,0,Problematic,3,25950.0,10.510479927063,78.68
Papua New Guinea,PNG,Asia Pacific,62,47,66.66,62.42,45.24,66.08,81.33,78.23,0,0,0,0,Problematic,-15,4240.0,,64.725
Paraguay,PRY,South America,96,100,58.36,54.24,31.12,75.44,65.0,65.99,0,0,0,0,Problematic,4,12610.0,,74.363
Peru,PER,South America,77,91,61.75,66.97,41.84,70.61,63.0,66.35,0,0,0,0,Problematic,14,11590.0,,76.947
Philippines,PHL,Asia Pacific,147,138,41.84,44.44,23.13,54.97,61.83,24.83,0,0,0,0,Difficult,-9,9030.0,3.56169009208679,71.36
Poland,POL,Europe,66,64,65.64,50.95,57.41,68.95,82.53,68.33,0,0,0,0,Problematic,-2,33040.0,,76.6
Portugal,PRT,Europe,7,9,87.07,91.86,77.41,84.21,93.14,88.73,0,0,0,0,Good,2,33640.0,,80.9756097560976
Qatar,QAT,Middle  East,119,128,49.03,59.7,46.94,43.86,42.5,52.17,0,0,0,0,Difficult,9,88060.0,,80.363
Romania,ROU,Europe,56,48,68.46,66.77,46.77,76.46,81.67,70.63,0,0,0,0,Problematic,-8,31700.0,,74.3536585365854
Russia,RUS,Europe,155,150,38.82,36.36,34.84,44.61,51.29,27.0,0,0,6,0,Very Serious,-5,,,
Rwanda,RWA,Africa,136,156,45.18,42.12,31.89,57.89,55.25,38.76,0,0,0,0,Difficult,20,2160.0,,69.329
Samoa,WSM,Asia Pacific,45,21,71.39,61.82,56.12,64.91,85.0,89.12,0,0,0,0,Satisfactory,-24,6510.0,,73.45
Saudi Arabia,SAU,Middle  East,166,170,33.71,37.27,33.67,22.37,36.5,38.75,0,0,0,0,Very Serious,4,47700.0,5.17592000961304,75.28
